Date,Open,High,Low,Close,Volume,log_return,ibov,usdbrl,sma_20,sma_50,rsi,atr,lag_1,lag_5,lag_21
2019-03-15,0.8807501038894936,0.8693960179466453,0.8823072597127402,0.8666705238768264,0.070516298934624,0.6528170094710727,0.5292235812278665,0.05675428026723117,0.8878562219569315,0.9014780633882862,0.5391285331143949,0.10464783916292686,0.8672455819876448,0.8061310540930151,0.8184181228794039
2019-03-18,0.8888723526685529,0.8627391242194367,0.8973354081962168,0.8701284756963772,0.019283826186924147,0.6590876578880024,0.5419754188614112,0.04407555702996202,0.8906376794480642,0.9039810225532183,0.49478456143956673,0.1008849992415442,0.8666705238768264,0.8735888382722776,0.7712067977394894
2019-03-19,0.8976219530621978,0.8591094582177028,0.8545603715775432,0.8205455226366776,0.17502977583968446,0.5757759982002697,0.5359342915811087,0.03347159191711624,0.8916824735416433,0.9042902747515744,0.46181359668918964,0.107749604789313,0.8701284756963772,0.8782008006121842,0.8250059782121406
2019-03-20,0.8388807817035608,0.8119141975054649,0.8077379208157907,0.7738441651861376,0.11697935222086692,0.5785836287845162,0.5129155134958188,0.03241118441373558,0.8918789061251957,0.9042791908471575,0.37437228669106126,0.1317399859340469,0.8205455226366776,0.901263023068064,0.8035962365126297
2019-03-21,0.792011849849467,0.7629027501329364,0.7447291853629696,0.7380965428177682,0.15227394404173314,0.595026940556712,0.4933934470136594,0.026187129882386806,0.8869953319255133,0.9032224681508074,0.3518377268323038,0.1608721376535575,0.7738441651861376,0.8672455819876448,0.7706575161773337
2019-03-22,0.7132747533595503,0.6848501454880715,0.701954158713912,0.6792885524214798,0.14619070486152932,0.5548410869521178,0.4488438532273904,0.03393260042433899,0.8801109894394055,0.8999313126084174,0.3286612630225931,0.15780066641131812,0.7380965428177682,0.8666705238768264,0.817320857854666
2019-03-25,0.6782796503297981,0.6848496863934643,0.6984853641164073,0.6821708898018239,0.07579456109246044,0.6586271930572086,0.4477576406868433,0.08695242598856878,0.8711032683380091,0.8958901494657407,0.3596996333639313,0.16019914209593572,0.6792885524214798,0.8701284756963772,0.7909705491804964
2019-03-26,0.7101506023917092,0.684245476889594,0.710047084007464,0.7023511457629525,0.05059361745658565,0.6879236087963156,0.4722346219087581,0.06279388742730663,0.861527397081369,0.892758816674136,0.39410801623302416,0.16225508769673525,0.6821708898018239,0.8205455226366776,0.8282996277143146
2019-03-27,0.6745304664183556,0.6558069119843475,0.6690049632137813,0.6360466303328598,0.13102233507430058,0.5399469465262839,0.42158438234681417,0.0726601729760199,0.8498537186531914,0.8882095963484455,0.27433404071626927,0.16156978363126173,0.7023511457629525,0.7738441651861376,0.8576967615290019
2019-03-28,0.6414106298868509,0.6981614864561523,0.6609122236781815,0.7109990851179651,0.1495609430922964,0.7820295308421682,0.45857512722078386,0.12485009529048052,0.8423384119378976,0.8852341875944503,0.3559571549476712,0.18384217225873228,0.6360466303328598,0.7380965428177682,0.8254241517174274
2019-03-29,0.7426446496767738,0.7108673422954361,0.7343244266563353,0.7300249596731461,0.0744190237836122,0.685505275755193,0.4738416212838139,0.08312585752089108,0.8371327198511167,0.8836164518270815,0.2784492934935856,0.1646535729716757,0.7109990851179651,0.6792885524214798,0.8329169678953088
2019-04-01,0.7548386496142563,0.7269124495590973,0.7398060502363644,0.7153169351831996,0.05819618144287671,0.6291603702359396,0.48334970091956064,0.09455961596254614,0.8334361544663811,0.8817696666606603,0.2574664459417836,0.1780290437523167,0.7300249596731461,0.6821708898018239,0.8144748672623647
2019-04-02,0.7267058646882172,0.6984621127333852,0.7126258870047255,0.6841694068157829,0.05247406839833088,0.6011081405141182,0.4734249918162068,0.06044256816693383,0.8291522803480718,0.8791002187290746,0.19150296321803273,0.17221600678291588,0.7153169351831996,0.7023511457629525,0.7752848702693198
2019-04-03,0.7135765942865786,0.6899868261778297,0.6918063608370484,0.6668646268515421,0.07289443704589943,0.6241201596020776,0.4600928488527809,0.06219448843114872,0.8237661821257214,0.8752780251466117,0.20324046533892876,0.17428711442490447,0.6841694068157829,0.6360466303328598,0.7536650218817864
2019-04-04,0.6916950922199552,0.6839332533657412,0.6964325671703171,0.6957046905066364,0.0636064207271891,0.702882364646372,0.4872035234949261,0.06957117415151481,0.8184519857277739,0.8726668277122553,0.25624452384207047,0.1794394624316753,0.6668646268515421,0.7109990851179651,0.7542411926493813
2019-04-05,0.71107563261984,0.7190424667709767,0.7282393125887054,0.7378118881256992,0.0513841415522194,0.7242119402623634,0.4990328244501978,0.06385429493068706,0.8142406307150305,0.8712547588606472,0.3173573542595942,0.19829834067204322,0.6957046905066364,0.7300249596731461,0.7819148211167795
2019-04-08,0.7485871059842915,0.7190432913605023,0.7484808511441519,0.7256996918960665,0.005413519298960036,0.6335859197038851,0.5029164062732494,0.07219916446879715,0.8051243938713355,0.8691604201012342,0.3520440205995828,0.1818588488899086,0.7378118881256992,0.7153169351831996,0.8061310540930151
2019-04-09,0.7235793036725309,0.6918026468356528,0.7172516328814775,0.7147396517588276,0.03295387253393678,0.6353940034896469,0.4868910513942206,0.060304287598959005,0.7950482619562933,0.8668490758318375,0.3906971574293273,0.16747656676697276,0.7256996918960665,0.6841694068157829,0.8735888382722776
2019-04-10,0.7360834818746802,0.7051205353380932,0.7288183033272662,0.7112792891829274,0.11785523203336482,0.6479071288581517,0.48184685891140666,0.06021206391332279,0.7833372151554647,0.8634752636518255,0.4315121501622199,0.14418566996734944,0.7147396517588276,0.6668646268515421,0.8782008006121842
2019-04-11,0.6998224248291327,0.6809067406748428,0.6883364183646432,0.665710801773983,0.024459666120586726,0.5763060054284789,0.4640210695473619,0.04914698037229348,0.7709141345326576,0.859303709124533,0.450204436132177,0.1500246861530909,0.7112792891829274,0.6957046905066364,0.901263023068064
