Date,Open,High,Low,Close,Volume
2019-01-02,27.027409570889656,27.762408466036682,26.90851414605031,27.611085891723633,17319600
2019-01-03,27.454363196523687,27.530024498658033,26.157307885043746,26.481571197509766,30120000
2019-01-04,26.924734946768837,28.346093479536517,26.924734946768837,28.205577850341797,43360100
2019-01-07,28.57306892945682,28.994613630300552,27.95156402054535,28.05424690246582,20998900
2019-01-08,28.21097477451495,28.535238022997408,27.897518514248507,28.324466705322266,19925600
2019-01-09,28.729793245346215,29.2161901195602,28.551449099211222,29.016225814819336,27695500
2019-01-10,28.76762641241259,28.80005356074833,28.248804408732983,28.697368621826172,18113600
2019-01-11,28.78384394497416,28.89193239654659,28.30825805664063,28.308258056640625,12360400
2019-01-14,28.092080299433558,28.48119788861798,27.79483861285798,28.427152633666992,14626300
2019-01-15,28.562256084036843,28.751411340268763,28.032625077494824,28.292036056518555,14480300
2019-01-16,28.31906021089501,28.546044048461386,28.21097178564735,28.45417022705078,15375100
2019-01-17,28.340679016758838,29.567478330758235,28.248805186368195,29.308067321777344,25525500
2019-01-18,29.697184528594725,30.04846936397446,29.318876038357356,29.594499588012695,25815900
2019-01-21,29.643146495611553,29.913366617035965,29.394544478688918,29.87553596496582,10676600
2019-01-22,29.44317928189411,29.767444610595703,29.372921484766433,29.767444610595703,17154300
2019-01-23,29.972806018014293,30.210600970077582,29.902550292736752,30.075490951538086,13470400
2019-01-24,30.156563074767952,30.372739981759004,29.994431425332554,30.345718383789062,14118200
2019-01-28,24.319807112843357,24.319807112843357,22.89304542541504,22.89304542541504,183534500
2019-01-29,23.38484416300104,24.152268141305505,23.022748211750088,23.098411560058594,68335900
2019-01-30,24.995357949182665,25.292599631390356,24.308998683508527,25.184511184692383,67892500
2019-01-31,25.395285556886495,25.638481994259145,24.590028762817383,24.590028762817383,39814600
2019-02-01,24.708923001553412,25.038591805351523,24.63326171444213,24.9953556060791,21286700
