Date,Open,High,Low,Close,Volume
2019-01-02,6.185128415680596,6.637699221397407,6.111071840830693,6.59929895401001,104534800
2019-01-03,6.571870146825536,6.807755478769637,6.527984576671834,6.76112699508667,95206400
2019-01-04,6.815986113241248,6.840671818706512,6.711757462797377,6.780328750610352,72119800
2019-01-07,6.815984871707055,7.109469846383008,6.774842211144903,6.887299060821533,121711900
2019-01-08,6.966842200882385,6.97232802904292,6.794042799084472,6.846156597137451,68761800
2019-01-09,6.939412910855574,6.9942701408309,6.898270249952739,6.988784313201904,70177600
2019-01-10,6.928441524505616,6.969584183898662,6.876327210257198,6.928441524505615,54763700
2019-01-11,6.8982695155100275,6.909241169599893,6.813241288942614,6.854383945465088,53980700
2019-01-14,6.807755508491272,6.881812604632942,6.763869938145971,6.81598424911499,46577300
2019-01-15,6.810500621795654,6.890043570711841,6.774843780557061,6.810500621795654,53731500
2019-01-16,6.8022710725829345,6.829699690447659,6.763871321466744,6.8077569007873535,40425000
2019-01-17,6.788556520289535,6.939413122588591,6.769356646159546,6.901013374328613,50359400
2019-01-18,6.977813830809599,7.010727753333576,6.933928252006053,6.966842174530029,67021300
2019-01-21,6.942155571306961,7.002498626708984,6.884555952776629,7.002498626708984,45336500
2019-01-22,6.928440514904755,6.994268864972691,6.86261216483682,6.892783164978027,61307000
2019-01-23,6.947641385759434,7.005241527339484,6.901012899016459,6.975069999694824,52931600
2019-01-24,6.9668401775545785,7.005240440368652,6.944897394442486,7.005240440368652,40109000
2019-01-28,6.936670489216066,7.002498850998048,6.785813369036375,6.794042110443115,65079900
2019-01-29,6.925697054330565,7.010725267721504,6.887297317281208,6.958611488342285,59419200
2019-01-30,7.079296837552696,7.112211273014411,6.98603988076124,7.0271830558776855,62607500
2019-01-31,7.095755389257831,7.120440565638333,7.010726636113336,7.016212463378906,63253600
2019-02-01,6.994271346595567,7.090271254023459,6.958614507174731,7.07655668258667,47957400
2019-02-04,7.087526969870217,7.164326985600226,7.021698609169054,7.139641284942627,53874900
2019-02-05,7.106727109145579,7.158841426169563,7.079298493703623,7.153355598449707,40989100
2019-02-06,7.0765548317383535,7.087526486018186,6.944898119323982,6.9915266036987305,64527000
2019-02-07,7.0216980234852855,7.090269292224093,6.763869906543338,6.881812572479248,55614100
2019-02-08,6.8022691182399635,6.933926341533056,6.783069248198135,6.892783164978027,40153900
2019-02-11,6.903755054783263,6.903755054783263,6.730955695328829,6.813241004943848,39617300
