Date,Open,High,Low,Close,Volume
2019-01-02,20.003170446495513,20.96269005435901,19.952373404319786,20.883670806884766,28984066
2019-01-03,20.74256664150193,21.22797203063965,20.573240711933945,21.22797203063965,24856433
2019-01-04,21.007838575339935,21.28440586209258,20.742558703785082,20.872377395629883,28181675
2019-01-07,20.770789585909544,21.165885875044246,20.7425673769135,20.911895751953125,19148946
2019-01-08,20.985267979369752,21.205393381204754,20.635326283872093,21.177173614501953,22157287
2019-01-09,21.391650922342006,21.498889923095703,21.211035172187252,21.498889923095703,23008397
2019-01-10,21.402939372667092,21.668219302146596,21.24490088858598,21.352142333984375,28032459
2019-01-11,21.222333908081055,21.40859468586926,21.05300792420279,21.222333908081055,15442903
2019-01-14,21.205398298082187,21.380369186401367,21.137668890716643,21.380369186401367,19711367
2019-01-15,21.267473352561492,21.30133803735626,20.815935277251217,21.047348022460938,46588733
2019-01-16,21.08121923543667,21.103796512113735,20.71434519797141,20.985267639160156,19605771
2019-01-17,20.906248390524436,21.08121923543667,20.73692247464848,20.985267639160156,29196956
2019-01-18,20.996554888111696,21.323919260579405,20.996554888111696,21.256187438964844,24162697
2019-01-21,21.16589247012593,21.239266821122712,20.911902267893986,21.081228256225586,8808508
2019-01-22,21.081212707255705,21.21103139808112,20.86673230444337,21.047348022460938,13807871
2019-01-23,21.13766425931674,21.273125483836036,20.861096881078318,21.188461303710938,30874136
2019-01-24,21.081220918395847,21.295701404748378,21.01913401244439,21.160240173339844,24113752
2019-01-28,20.92317720511599,21.645640178916256,20.92317720511599,21.53839874267578,25555494
2019-01-29,21.67387141654753,21.75853317575446,21.380369186401367,21.380369186401367,17930858
2019-01-30,21.572267771123276,21.67950677733841,21.109439735314208,21.515823364257812,21965357
2019-01-31,21.707729950958395,22.232642466737364,21.656930470402656,21.88834571838379,30523926
2019-02-01,21.7951730893652,22.07749449641217,21.648365274385647,21.913747787475586,15342292
2019-02-04,21.834700335998097,22.467098793903936,21.68224783358478,22.410634994506836,20038804
2019-02-05,21.772593483456475,21.908107115354703,21.24183074168345,21.45639419555664,80658836
2019-02-06,21.34347569898925,21.39429241751826,20.552974700927734,20.552974700927734,44387767
2019-02-07,20.79011570285211,20.936923563251522,20.360988788472188,20.626371383666992,34838503
